"MUNICIPIO";"ANOMES";"FATO";"QTDE"
"ACEGUA";"2004-01";"Furtos";"4"
"ACEGUA";"2004-03";"Furtos";"6"
"ACEGUA";"2004-04";"Furtos";"3"
"ACEGUA";"2004-05";"Furto de veículo";"1"
"ACEGUA";"2004-05";"Furtos";"13"
"ACEGUA";"2004-06";"Furtos";"5"
"ACEGUA";"2004-06";"Homicídio";"1"
"ACEGUA";"2004-07";"Furtos";"6"
"ACEGUA";"2004-08";"Furtos";"6"
"ACEGUA";"2004-09";"Furtos";"8"
"ACEGUA";"2004-09";"Roubos";"1"
"ACEGUA";"2004-10";"Estelionato";"1"
"ACEGUA";"2004-10";"Furtos";"7"
"ACEGUA";"2004-11";"Furtos";"3"
"AGUA SANTA";"2004-01";"Furtos";"6"
"AGUA SANTA";"2004-02";"Furto de veículo";"1"
"AGUA SANTA";"2004-04";"Furtos";"1"
"AGUA SANTA";"2004-04";"Roubos";"1"
"AGUA SANTA";"2004-05";"Delitos relacionados a armas e muniçoes";"1"
"AGUA SANTA";"2004-05";"Furtos";"1"
"AGUA SANTA";"2004-06";"Furtos";"4"
"AGUA SANTA";"2004-07";"Furtos";"1"
"AGUA SANTA";"2004-08";"Furtos";"4"
"AGUA SANTA";"2004-09";"Furtos";"3"
"AGUA SANTA";"2004-10";"Estelionato";"1"
"AGUA SANTA";"2004-10";"Furto de veículo";"1"
"AGUA SANTA";"2004-10";"Furtos";"6"
"AGUA SANTA";"2004-11";"Furtos";"5"
"AGUA SANTA";"2004-12";"Furtos";"2"
"AGUDO";"2004-01";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2004-01";"Entorpecentes - Posse";"1"
"AGUDO";"2004-01";"Entorpecentes - Tráfico";"1"
"AGUDO";"2004-01";"Furto de veículo";"2"
"AGUDO";"2004-01";"Furtos";"8"
"AGUDO";"2004-01";"Homicídio";"1"
"AGUDO";"2004-02";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2004-02";"Furtos";"22"
"AGUDO";"2004-02";"Roubos";"2"
"AGUDO";"2004-03";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2004-03";"Estelionato";"3"
"AGUDO";"2004-03";"Extorsão";"1"
"AGUDO";"2004-03";"Furtos";"12"
"AGUDO";"2004-03";"Homicídio";"1"
"AGUDO";"2004-03";"Roubos";"1"
"AGUDO";"2004-04";"Delitos relacionados a armas e muniçoes";"3"
"AGUDO";"2004-04";"Estelionato";"2"
"AGUDO";"2004-04";"Furtos";"14"
"AGUDO";"2004-05";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2004-05";"Estelionato";"1"
"AGUDO";"2004-05";"Furto de veículo";"2"
"AGUDO";"2004-05";"Furtos";"17"
"AGUDO";"2004-05";"Roubos";"1"
"AGUDO";"2004-06";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2004-06";"Entorpecentes - Posse";"2"
"AGUDO";"2004-06";"Estelionato";"1"
"AGUDO";"2004-06";"Furtos";"26"
"AGUDO";"2004-06";"Latrocínio";"1"
"AGUDO";"2004-07";"Estelionato";"2"
"AGUDO";"2004-07";"Furtos";"15"
"AGUDO";"2004-07";"Roubos";"7"
"AGUDO";"2004-08";"Estelionato";"1"
"AGUDO";"2004-08";"Furtos";"23"
"AGUDO";"2004-08";"Homicídio";"1"
"AGUDO";"2004-08";"Roubos";"3"
"AGUDO";"2004-09";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2004-09";"Furto de veículo";"1"
"AGUDO";"2004-09";"Furtos";"13"
"AGUDO";"2004-09";"Roubos";"1"
"AGUDO";"2004-10";"Entorpecentes - Posse";"1"
"AGUDO";"2004-10";"Estelionato";"1"
"AGUDO";"2004-10";"Furtos";"20"
"AGUDO";"2004-11";"Delitos relacionados a armas e muniçoes";"3"
"AGUDO";"2004-11";"Estelionato";"5"
"AGUDO";"2004-11";"Furtos";"19"
"AGUDO";"2004-11";"Roubos";"4"
"AGUDO";"2004-12";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2004-12";"Entorpecentes - Posse";"1"
"AGUDO";"2004-12";"Estelionato";"8"
"AGUDO";"2004-12";"Furto de veículo";"1"
"AGUDO";"2004-12";"Furtos";"19"
"AJURICABA";"2004-01";"Estelionato";"1"
"AJURICABA";"2004-01";"Furtos";"3"
"AJURICABA";"2004-02";"Furtos";"14"
"AJURICABA";"2004-03";"Furtos";"7"
"AJURICABA";"2004-04";"Furtos";"6"
"AJURICABA";"2004-05";"Delitos relacionados a armas e muniçoes";"1"
"AJURICABA";"2004-05";"Furtos";"3"
"AJURICABA";"2004-06";"Furto de veículo";"1"
"AJURICABA";"2004-06";"Furtos";"3"
"AJURICABA";"2004-07";"Delitos relacionados a armas e muniçoes";"1"
"AJURICABA";"2004-07";"Furtos";"5"
"AJURICABA";"2004-07";"Roubos";"1"
"AJURICABA";"2004-08";"Estelionato";"1"
"AJURICABA";"2004-08";"Furtos";"3"
"AJURICABA";"2004-09";"Furtos";"6"
"AJURICABA";"2004-10";"Delitos relacionados a armas e muniçoes";"1"
"AJURICABA";"2004-10";"Furtos";"10"
"AJURICABA";"2004-11";"Furtos";"11"
"AJURICABA";"2004-12";"Furtos";"9"
"AJURICABA";"2004-12";"Roubos";"1"
"ALECRIM";"2004-01";"Delitos relacionados a armas e muniçoes";"1"
"ALECRIM";"2004-01";"Furtos";"5"
"ALECRIM";"2004-02";"Delitos relacionados a armas e muniçoes";"1"
"ALECRIM";"2004-02";"Furtos";"3"
