"MUNICIPIO";"ANOMES";"FATO";"QTDE"
"ACEGUA";"2010-01";"Furtos";"6"
"ACEGUA";"2010-02";"Furtos";"4"
"ACEGUA";"2010-03";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2010-03";"Furtos";"6"
"ACEGUA";"2010-04";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2010-04";"Furtos";"5"
"ACEGUA";"2010-05";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2010-05";"Furto de veículo";"1"
"ACEGUA";"2010-05";"Furtos";"4"
"ACEGUA";"2010-06";"Furtos";"3"
"ACEGUA";"2010-07";"Furtos";"8"
"ACEGUA";"2010-08";"Furtos";"3"
"ACEGUA";"2010-09";"Furtos";"6"
"ACEGUA";"2010-10";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2010-10";"Furtos";"5"
"ACEGUA";"2010-11";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2010-11";"Furtos";"3"
"ACEGUA";"2010-12";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2010-12";"Furtos";"4"
"AGUA SANTA";"2010-01";"Furtos";"1"
"AGUA SANTA";"2010-03";"Furtos";"1"
"AGUA SANTA";"2010-04";"Delitos relacionados a armas e muniçoes";"1"
"AGUA SANTA";"2010-04";"Estelionato";"1"
"AGUA SANTA";"2010-04";"Furtos";"2"
"AGUA SANTA";"2010-04";"Roubo de veículo";"1"
"AGUA SANTA";"2010-05";"Furtos";"4"
"AGUA SANTA";"2010-06";"Furtos";"5"
"AGUA SANTA";"2010-07";"Furtos";"3"
"AGUA SANTA";"2010-07";"Roubos";"1"
"AGUA SANTA";"2010-08";"Delitos relacionados a armas e muniçoes";"4"
"AGUA SANTA";"2010-08";"Furtos";"2"
"AGUA SANTA";"2010-09";"Estelionato";"1"
"AGUA SANTA";"2010-09";"Furtos";"4"
"AGUA SANTA";"2010-10";"Furto de veículo";"1"
"AGUA SANTA";"2010-10";"Furtos";"3"
"AGUA SANTA";"2010-11";"Furtos";"2"
"AGUA SANTA";"2010-12";"Delitos relacionados a armas e muniçoes";"1"
"AGUA SANTA";"2010-12";"Furtos";"1"
"AGUDO";"2010-01";"Estelionato";"3"
"AGUDO";"2010-01";"Furtos";"6"
"AGUDO";"2010-02";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2010-02";"Estelionato";"2"
"AGUDO";"2010-02";"Extorsão";"1"
"AGUDO";"2010-02";"Furto de veículo";"1"
"AGUDO";"2010-02";"Furtos";"21"
"AGUDO";"2010-02";"Roubos";"2"
"AGUDO";"2010-03";"Furto de veículo";"1"
"AGUDO";"2010-03";"Furtos";"17"
"AGUDO";"2010-04";"Estelionato";"2"
"AGUDO";"2010-04";"Furto de veículo";"1"
"AGUDO";"2010-04";"Furtos";"18"
"AGUDO";"2010-05";"Furtos";"26"
"AGUDO";"2010-06";"Furtos";"13"
"AGUDO";"2010-07";"Estelionato";"1"
"AGUDO";"2010-07";"Furtos";"12"
"AGUDO";"2010-08";"Entorpecentes - Tráfico";"1"
"AGUDO";"2010-08";"Furtos";"16"
"AGUDO";"2010-08";"Roubos";"1"
"AGUDO";"2010-09";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2010-09";"Estelionato";"2"
"AGUDO";"2010-09";"Extorsão";"1"
"AGUDO";"2010-09";"Furto de veículo";"1"
"AGUDO";"2010-09";"Furtos";"25"
"AGUDO";"2010-09";"Roubos";"1"
"AGUDO";"2010-10";"Estelionato";"2"
"AGUDO";"2010-10";"Furtos";"15"
"AGUDO";"2010-11";"Estelionato";"1"
"AGUDO";"2010-11";"Furto de veículo";"3"
"AGUDO";"2010-11";"Furtos";"8"
"AGUDO";"2010-12";"Estelionato";"1"
"AGUDO";"2010-12";"Furtos";"12"
"AJURICABA";"2010-01";"Extorsão";"1"
"AJURICABA";"2010-01";"Furto de veículo";"1"
"AJURICABA";"2010-01";"Furtos";"9"
"AJURICABA";"2010-02";"Furtos";"3"
"AJURICABA";"2010-03";"Delitos relacionados a armas e muniçoes";"1"
"AJURICABA";"2010-03";"Furtos";"2"
"AJURICABA";"2010-04";"Estelionato";"1"
"AJURICABA";"2010-04";"Furtos";"1"
"AJURICABA";"2010-05";"Furtos";"5"
"AJURICABA";"2010-05";"Homicídio";"1"
"AJURICABA";"2010-06";"Delitos relacionados a armas e muniçoes";"1"
"AJURICABA";"2010-06";"Entorpecentes - Posse";"2"
"AJURICABA";"2010-06";"Furtos";"3"
"AJURICABA";"2010-07";"Furtos";"5"
"AJURICABA";"2010-08";"Estelionato";"1"
"AJURICABA";"2010-08";"Furtos";"4"
"AJURICABA";"2010-09";"Delitos relacionados a armas e muniçoes";"1"
"AJURICABA";"2010-09";"Estelionato";"1"
"AJURICABA";"2010-09";"Furtos";"5"
"AJURICABA";"2010-10";"Delitos relacionados a armas e muniçoes";"2"
"AJURICABA";"2010-10";"Estelionato";"1"
"AJURICABA";"2010-10";"Furto de veículo";"1"
