"MUNICIPIO";"ANOMES";"FATO";"QTDE"
"ACEGUA";"2009-01";"Furtos";"5"
"ACEGUA";"2009-02";"Estelionato";"1"
"ACEGUA";"2009-02";"Furtos";"5"
"ACEGUA";"2009-02";"Roubos";"3"
"ACEGUA";"2009-03";"Furtos";"9"
"ACEGUA";"2009-04";"Furtos";"5"
"ACEGUA";"2009-05";"Furtos";"5"
"ACEGUA";"2009-06";"Entorpecentes - Tráfico";"1"
"ACEGUA";"2009-06";"Furtos";"9"
"ACEGUA";"2009-06";"Roubos";"1"
"ACEGUA";"2009-07";"Estelionato";"1"
"ACEGUA";"2009-07";"Furtos";"5"
"ACEGUA";"2009-08";"Furtos";"3"
"ACEGUA";"2009-09";"Furtos";"7"
"ACEGUA";"2009-10";"Furtos";"4"
"ACEGUA";"2009-12";"Furtos";"13"
"AGUA SANTA";"2009-01";"Furtos";"3"
"AGUA SANTA";"2009-02";"Furtos";"7"
"AGUA SANTA";"2009-03";"Furtos";"4"
"AGUA SANTA";"2009-04";"Delitos relacionados a armas e muniçoes";"1"
"AGUA SANTA";"2009-04";"Furtos";"7"
"AGUA SANTA";"2009-05";"Furtos";"9"
"AGUA SANTA";"2009-05";"Roubo de veículo";"1"
"AGUA SANTA";"2009-06";"Estelionato";"1"
"AGUA SANTA";"2009-06";"Furtos";"2"
"AGUA SANTA";"2009-06";"Roubos";"1"
"AGUA SANTA";"2009-07";"Furto de veículo";"1"
"AGUA SANTA";"2009-07";"Furtos";"2"
"AGUA SANTA";"2009-08";"Delitos relacionados a armas e muniçoes";"1"
"AGUA SANTA";"2009-08";"Furtos";"3"
"AGUA SANTA";"2009-08";"Roubo de veículo";"1"
"AGUA SANTA";"2009-09";"Furtos";"2"
"AGUA SANTA";"2009-10";"Furtos";"1"
"AGUA SANTA";"2009-11";"Furtos";"2"
"AGUA SANTA";"2009-11";"Roubo de veículo";"1"
"AGUA SANTA";"2009-11";"Roubos";"1"
"AGUA SANTA";"2009-12";"Furtos";"5"
"AGUDO";"2009-01";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2009-01";"Estelionato";"1"
"AGUDO";"2009-01";"Furto de veículo";"2"
"AGUDO";"2009-01";"Furtos";"13"
"AGUDO";"2009-02";"Estelionato";"2"
"AGUDO";"2009-02";"Furtos";"11"
"AGUDO";"2009-03";"Entorpecentes - Tráfico";"1"
"AGUDO";"2009-03";"Estelionato";"1"
"AGUDO";"2009-03";"Furtos";"13"
"AGUDO";"2009-03";"Roubos";"2"
"AGUDO";"2009-04";"Entorpecentes - Posse";"1"
"AGUDO";"2009-04";"Furtos";"8"
"AGUDO";"2009-04";"Roubos";"1"
"AGUDO";"2009-05";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2009-05";"Furto de veículo";"2"
"AGUDO";"2009-05";"Furtos";"26"
"AGUDO";"2009-05";"Roubos";"1"
"AGUDO";"2009-06";"Entorpecentes - Posse";"2"
"AGUDO";"2009-06";"Furto de veículo";"2"
"AGUDO";"2009-06";"Furtos";"15"
"AGUDO";"2009-07";"Estelionato";"2"
"AGUDO";"2009-07";"Furto de veículo";"2"
"AGUDO";"2009-07";"Furtos";"9"
"AGUDO";"2009-08";"Entorpecentes - Posse";"1"
"AGUDO";"2009-08";"Furto de veículo";"1"
"AGUDO";"2009-08";"Furtos";"14"
"AGUDO";"2009-09";"Estelionato";"1"
"AGUDO";"2009-09";"Furtos";"17"
"AGUDO";"2009-10";"Entorpecentes - Posse";"1"
"AGUDO";"2009-10";"Estelionato";"1"
"AGUDO";"2009-10";"Furtos";"11"
"AGUDO";"2009-11";"Furtos";"10"
"AGUDO";"2009-12";"Entorpecentes - Posse";"1"
"AGUDO";"2009-12";"Estelionato";"1"
"AGUDO";"2009-12";"Furtos";"7"
"AGUDO";"2009-12";"Roubos";"1"
"AJURICABA";"2009-01";"Furtos";"4"
"AJURICABA";"2009-02";"Delitos relacionados a armas e muniçoes";"1"
"AJURICABA";"2009-02";"Estelionato";"1"
"AJURICABA";"2009-02";"Furtos";"8"
"AJURICABA";"2009-03";"Estelionato";"2"
"AJURICABA";"2009-03";"Furtos";"4"
"AJURICABA";"2009-03";"Roubos";"1"
"AJURICABA";"2009-04";"Estelionato";"1"
"AJURICABA";"2009-04";"Furtos";"4"
"AJURICABA";"2009-05";"Estelionato";"1"
"AJURICABA";"2009-05";"Extorsão";"1"
"AJURICABA";"2009-05";"Furtos";"8"
"AJURICABA";"2009-05";"Roubos";"1"
"AJURICABA";"2009-06";"Estelionato";"1"
"AJURICABA";"2009-06";"Furtos";"8"
"AJURICABA";"2009-07";"Furto de veículo";"1"
"AJURICABA";"2009-07";"Furtos";"4"
"AJURICABA";"2009-08";"Estelionato";"3"
"AJURICABA";"2009-08";"Furtos";"8"
"AJURICABA";"2009-09";"Delitos relacionados a armas e muniçoes";"1"
"AJURICABA";"2009-09";"Entorpecentes - Posse";"1"
"AJURICABA";"2009-09";"Estelionato";"1"
"AJURICABA";"2009-09";"Furtos";"13"
"AJURICABA";"2009-10";"Delitos relacionados a armas e muniçoes";"1"
"AJURICABA";"2009-10";"Estelionato";"2"
"AJURICABA";"2009-10";"Furtos";"1"
"AJURICABA";"2009-11";"Furto de veículo";"2"
"AJURICABA";"2009-11";"Furtos";"1"
"AJURICABA";"2009-12";"Extorsão";"1"
"AJURICABA";"2009-12";"Furto de veículo";"1"
"AJURICABA";"2009-12";"Furtos";"8"
"ALECRIM";"2009-01";"Delitos relacionados a armas e muniçoes";"2"
"ALECRIM";"2009-01";"Estelionato";"1"
"ALECRIM";"2009-01";"Furtos";"7"
"ALECRIM";"2009-01";"Homicídio";"1"
"ALECRIM";"2009-01";"Roubos";"1"
"ALECRIM";"2009-02";"Delitos relacionados a armas e muniçoes";"1"
"ALECRIM";"2009-02";"Furto de veículo";"1"
"ALECRIM";"2009-02";"Furtos";"7"
"ALECRIM";"2009-03";"Delitos relacionados a armas e muniçoes";"1"
"ALECRIM";"2009-03";"Furtos";"8"
"ALECRIM";"2009-04";"Estelionato";"1"
"ALECRIM";"2009-04";"Furtos";"7"
"ALECRIM";"2009-05";"Estelionato";"1"
"ALECRIM";"2009-05";"Furtos";"6"
"ALECRIM";"2009-06";"Delitos relacionados a armas e muniçoes";"3"
