"MUNICIPIO";"ANOMES";"FATO";"QTDE"
"ACEGUA";"2003-01";"Furto de veículo";"1"
"ACEGUA";"2003-01";"Furtos";"5"
"ACEGUA";"2003-01";"Roubos";"1"
"ACEGUA";"2003-03";"Furtos";"4"
"ACEGUA";"2003-04";"Furtos";"4"
"ACEGUA";"2003-05";"Furtos";"5"
"ACEGUA";"2003-07";"Furtos";"4"
"ACEGUA";"2003-08";"Furtos";"3"
"ACEGUA";"2003-09";"Furtos";"6"
"ACEGUA";"2003-10";"Furtos";"4"
"ACEGUA";"2003-11";"Furtos";"2"
"ACEGUA";"2003-11";"Roubos";"1"
"ACEGUA";"2003-12";"Furtos";"10"
"AGUA SANTA";"2003-01";"Furtos";"3"
"AGUA SANTA";"2003-02";"Estelionato";"1"
"AGUA SANTA";"2003-02";"Furtos";"1"
"AGUA SANTA";"2003-03";"Furtos";"4"
"AGUA SANTA";"2003-04";"Furtos";"5"
"AGUA SANTA";"2003-06";"Furtos";"2"
"AGUA SANTA";"2003-07";"Estelionato";"3"
"AGUA SANTA";"2003-07";"Furtos";"3"
"AGUA SANTA";"2003-08";"Furtos";"2"
"AGUA SANTA";"2003-09";"Furtos";"6"
"AGUA SANTA";"2003-10";"Furtos";"7"
"AGUA SANTA";"2003-10";"Roubos";"1"
"AGUA SANTA";"2003-11";"Furtos";"5"
"AGUA SANTA";"2003-12";"Furto de veículo";"1"
"AGUA SANTA";"2003-12";"Furtos";"5"
"AGUDO";"2003-01";"Estelionato";"3"
"AGUDO";"2003-01";"Furto de veículo";"1"
"AGUDO";"2003-01";"Furtos";"18"
"AGUDO";"2003-02";"Estelionato";"2"
"AGUDO";"2003-02";"Furto de veículo";"1"
"AGUDO";"2003-02";"Furtos";"12"
"AGUDO";"2003-03";"Estelionato";"2"
"AGUDO";"2003-03";"Furtos";"12"
"AGUDO";"2003-03";"Roubos";"1"
"AGUDO";"2003-04";"Estelionato";"2"
"AGUDO";"2003-04";"Furtos";"12"
"AGUDO";"2003-04";"Roubos";"1"
"AGUDO";"2003-05";"Entorpecentes - Tráfico";"1"
"AGUDO";"2003-05";"Furto de veículo";"1"
"AGUDO";"2003-05";"Furtos";"17"
"AGUDO";"2003-05";"Roubos";"1"
"AGUDO";"2003-06";"Estelionato";"1"
"AGUDO";"2003-06";"Furtos";"17"
"AGUDO";"2003-07";"Estelionato";"1"
"AGUDO";"2003-07";"Furtos";"27"
"AGUDO";"2003-08";"Furto de veículo";"1"
"AGUDO";"2003-08";"Furtos";"18"
"AGUDO";"2003-09";"Estelionato";"4"
"AGUDO";"2003-09";"Furtos";"28"
"AGUDO";"2003-10";"Furtos";"25"
"AGUDO";"2003-11";"Estelionato";"2"
"AGUDO";"2003-11";"Furto de veículo";"1"
"AGUDO";"2003-11";"Furtos";"16"
"AGUDO";"2003-12";"Furtos";"15"
"AJURICABA";"2003-01";"Furtos";"4"
"AJURICABA";"2003-02";"Estelionato";"1"
"AJURICABA";"2003-02";"Furtos";"3"
"AJURICABA";"2003-03";"Furtos";"3"
"AJURICABA";"2003-03";"Roubos";"1"
"AJURICABA";"2003-04";"Furtos";"5"
"AJURICABA";"2003-05";"Estelionato";"5"
"AJURICABA";"2003-05";"Furtos";"12"
"AJURICABA";"2003-06";"Estelionato";"1"
"AJURICABA";"2003-06";"Furtos";"13"
"AJURICABA";"2003-06";"Roubos";"1"
"AJURICABA";"2003-07";"Estelionato";"1"
"AJURICABA";"2003-07";"Furtos";"11"
"AJURICABA";"2003-08";"Furtos";"8"
"AJURICABA";"2003-09";"Furtos";"6"
"AJURICABA";"2003-09";"Roubos";"1"
"AJURICABA";"2003-10";"Furtos";"3"
"AJURICABA";"2003-11";"Estelionato";"1"
"AJURICABA";"2003-11";"Furtos";"18"
"AJURICABA";"2003-12";"Estelionato";"2"
"AJURICABA";"2003-12";"Furtos";"7"
"ALECRIM";"2003-01";"Furtos";"2"
