"MUNICIPIO";"ANOMES";"FATO";"QTDE"
"ACEGUA";"2007-01";"Delitos relacionados a armas e muniçoes";"2"
"ACEGUA";"2007-01";"Furtos";"9"
"ACEGUA";"2007-02";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2007-02";"Furtos";"9"
"ACEGUA";"2007-03";"Furtos";"4"
"ACEGUA";"2007-04";"Furtos";"6"
"ACEGUA";"2007-05";"Furtos";"5"
"ACEGUA";"2007-06";"Furtos";"5"
"ACEGUA";"2007-07";"Furtos";"3"
"ACEGUA";"2007-07";"Roubos";"1"
"ACEGUA";"2007-08";"Furtos";"4"
"ACEGUA";"2007-08";"Roubos";"1"
"ACEGUA";"2007-09";"Furtos";"3"
"ACEGUA";"2007-10";"Estelionato";"1"
"ACEGUA";"2007-10";"Furtos";"5"
"ACEGUA";"2007-11";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2007-11";"Furtos";"11"
"ACEGUA";"2007-11";"Roubos";"1"
"ACEGUA";"2007-12";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2007-12";"Entorpecentes - Posse";"1"
"ACEGUA";"2007-12";"Furtos";"8"
"AGUA SANTA";"2007-01";"Furtos";"2"
"AGUA SANTA";"2007-02";"Estelionato";"1"
"AGUA SANTA";"2007-02";"Furtos";"2"
"AGUA SANTA";"2007-03";"Entorpecentes - Posse";"1"
"AGUA SANTA";"2007-05";"Furto de veículo";"1"
"AGUA SANTA";"2007-05";"Furtos";"4"
"AGUA SANTA";"2007-06";"Furtos";"1"
"AGUA SANTA";"2007-07";"Estelionato";"1"
"AGUA SANTA";"2007-07";"Furtos";"3"
"AGUA SANTA";"2007-08";"Furtos";"2"
"AGUA SANTA";"2007-09";"Furtos";"2"
"AGUA SANTA";"2007-10";"Estelionato";"1"
"AGUA SANTA";"2007-10";"Furtos";"1"
"AGUA SANTA";"2007-10";"Roubos";"1"
"AGUA SANTA";"2007-11";"Furtos";"1"
"AGUA SANTA";"2007-12";"Furtos";"3"
"AGUDO";"2007-01";"Estelionato";"1"
"AGUDO";"2007-01";"Furtos";"15"
"AGUDO";"2007-01";"Homicídio";"1"
"AGUDO";"2007-01";"Roubos";"3"
"AGUDO";"2007-02";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2007-02";"Estelionato";"1"
"AGUDO";"2007-02";"Extorsão";"1"
"AGUDO";"2007-02";"Furtos";"9"
"AGUDO";"2007-02";"Roubos";"1"
"AGUDO";"2007-03";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2007-03";"Estelionato";"4"
"AGUDO";"2007-03";"Furtos";"27"
"AGUDO";"2007-04";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2007-04";"Entorpecentes - Tráfico";"1"
"AGUDO";"2007-04";"Furto de veículo";"1"
"AGUDO";"2007-04";"Furtos";"17"
"AGUDO";"2007-04";"Roubos";"3"
"AGUDO";"2007-05";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2007-05";"Estelionato";"2"
"AGUDO";"2007-05";"Furtos";"30"
"AGUDO";"2007-05";"Roubos";"2"
"AGUDO";"2007-06";"Estelionato";"1"
"AGUDO";"2007-06";"Furtos";"21"
"AGUDO";"2007-06";"Roubos";"1"
"AGUDO";"2007-07";"Estelionato";"3"
"AGUDO";"2007-07";"Furtos";"20"
"AGUDO";"2007-07";"Roubos";"3"
"AGUDO";"2007-08";"Estelionato";"3"
"AGUDO";"2007-08";"Furto de veículo";"2"
"AGUDO";"2007-08";"Furtos";"11"
"AGUDO";"2007-08";"Roubos";"1"
"AGUDO";"2007-09";"Estelionato";"3"
"AGUDO";"2007-09";"Furtos";"20"
"AGUDO";"2007-10";"Entorpecentes - Posse";"1"
"AGUDO";"2007-10";"Estelionato";"3"
"AGUDO";"2007-10";"Furto de veículo";"1"
"AGUDO";"2007-10";"Furtos";"9"
"AGUDO";"2007-10";"Homicídio";"1"
"AGUDO";"2007-11";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2007-11";"Furto de veículo";"1"
"AGUDO";"2007-11";"Furtos";"14"
"AGUDO";"2007-12";"Furtos";"7"
"AJURICABA";"2007-01";"Delitos relacionados a armas e muniçoes";"1"
"AJURICABA";"2007-01";"Estelionato";"1"
"AJURICABA";"2007-01";"Furto de veículo";"1"
"AJURICABA";"2007-01";"Furtos";"4"
"AJURICABA";"2007-02";"Furtos";"6"
"AJURICABA";"2007-03";"Furtos";"4"
"AJURICABA";"2007-04";"Furtos";"7"
"AJURICABA";"2007-05";"Entorpecentes - Tráfico";"1"
"AJURICABA";"2007-05";"Extorsão";"1"
"AJURICABA";"2007-05";"Furtos";"4"
"AJURICABA";"2007-06";"Estelionato";"1"
"AJURICABA";"2007-06";"Extorsão";"2"
"AJURICABA";"2007-06";"Furto de veículo";"1"
"AJURICABA";"2007-06";"Furtos";"11"
"AJURICABA";"2007-07";"Entorpecentes - Tráfico";"1"
"AJURICABA";"2007-07";"Furtos";"4"
"AJURICABA";"2007-08";"Extorsão";"1"
"AJURICABA";"2007-08";"Furtos";"5"
"AJURICABA";"2007-09";"Entorpecentes - Posse";"1"
"AJURICABA";"2007-09";"Estelionato";"2"
"AJURICABA";"2007-09";"Furto de veículo";"2"
"AJURICABA";"2007-09";"Furtos";"4"
"AJURICABA";"2007-10";"Furtos";"7"
"AJURICABA";"2007-11";"Furtos";"1"
"AJURICABA";"2007-12";"Estelionato";"1"
"AJURICABA";"2007-12";"Furtos";"6"
"ALECRIM";"2007-01";"Furtos";"9"
"ALECRIM";"2007-01";"Homicídio";"1"
"ALECRIM";"2007-02";"Extorsão";"2"
"ALECRIM";"2007-02";"Furtos";"3"
"ALECRIM";"2007-03";"Furtos";"2"
"ALECRIM";"2007-04";"Furto de veículo";"1"
"ALECRIM";"2007-04";"Furtos";"7"
"ALECRIM";"2007-05";"Furtos";"9"
"ALECRIM";"2007-05";"Roubo de veículo";"1"
"ALECRIM";"2007-06";"Estelionato";"1"
"ALECRIM";"2007-06";"Furtos";"6"
"ALECRIM";"2007-07";"Furtos";"2"
"ALECRIM";"2007-08";"Entorpecentes - Tráfico";"1"
"ALECRIM";"2007-08";"Furtos";"3"
"ALECRIM";"2007-09";"Delitos relacionados a armas e muniçoes";"1"
"ALECRIM";"2007-09";"Estelionato";"1"
"ALECRIM";"2007-09";"Furtos";"6"
"ALECRIM";"2007-10";"Delitos relacionados a armas e muniçoes";"1"
"ALECRIM";"2007-10";"Furtos";"4"
"ALECRIM";"2007-11";"Delitos relacionados a armas e muniçoes";"1"
"ALECRIM";"2007-11";"Estelionato";"3"
"ALECRIM";"2007-11";"Furtos";"6"
"ALECRIM";"2007-12";"Delitos relacionados a armas e muniçoes";"1"
"ALECRIM";"2007-12";"Estelionato";"1"
"ALECRIM";"2007-12";"Furtos";"3"
"ALEGRETE";"2007-01";"Delitos relacionados a armas e muniçoes";"12"
"ALEGRETE";"2007-01";"Entorpecentes - Posse";"5"
"ALEGRETE";"2007-01";"Estelionato";"7"
"ALEGRETE";"2007-01";"Extorsão";"1"
"ALEGRETE";"2007-01";"Furto de veículo";"3"
"ALEGRETE";"2007-01";"Furtos";"147"
"ALEGRETE";"2007-01";"Roubos";"49"
"ALEGRETE";"2007-02";"Delitos relacionados a armas e muniçoes";"9"
"ALEGRETE";"2007-02";"Entorpecentes - Posse";"9"
"ALEGRETE";"2007-02";"Estelionato";"3"
"ALEGRETE";"2007-02";"Furto de veículo";"2"
"ALEGRETE";"2007-02";"Furtos";"126"
"ALEGRETE";"2007-02";"Homicídio";"2"
"ALEGRETE";"2007-02";"Roubo de veículo";"1"
"ALEGRETE";"2007-02";"Roubos";"21"
"ALEGRETE";"2007-03";"Delitos relacionados a armas e muniçoes";"5"
"ALEGRETE";"2007-03";"Entorpecentes - Posse";"6"
"ALEGRETE";"2007-03";"Entorpecentes - Tráfico";"1"
"ALEGRETE";"2007-03";"Estelionato";"3"
"ALEGRETE";"2007-03";"Extorsão";"1"
"ALEGRETE";"2007-03";"Furto de veículo";"3"
"ALEGRETE";"2007-03";"Furtos";"143"
"ALEGRETE";"2007-03";"Homicídio";"2"
"ALEGRETE";"2007-03";"Roubo de veículo";"1"
"ALEGRETE";"2007-03";"Roubos";"26"
"ALEGRETE";"2007-04";"Delitos relacionados a armas e muniçoes";"6"
"ALEGRETE";"2007-04";"Entorpecentes - Posse";"7"
"ALEGRETE";"2007-04";"Entorpecentes - Tráfico";"2"
"ALEGRETE";"2007-04";"Estelionato";"2"
"ALEGRETE";"2007-04";"Furtos";"146"
"ALEGRETE";"2007-04";"Homicídio";"1"
"ALEGRETE";"2007-04";"Roubos";"22"
"ALEGRETE";"2007-05";"Delitos relacionados a armas e muniçoes";"12"
"ALEGRETE";"2007-05";"Entorpecentes - Posse";"1"
"ALEGRETE";"2007-05";"Entorpecentes - Tráfico";"1"
"ALEGRETE";"2007-05";"Estelionato";"8"
"ALEGRETE";"2007-05";"Furto de veículo";"2"
"ALEGRETE";"2007-05";"Furtos";"131"
"ALEGRETE";"2007-05";"Roubo de veículo";"1"
"ALEGRETE";"2007-05";"Roubos";"23"
"ALEGRETE";"2007-06";"Delitos relacionados a armas e muniçoes";"10"
"ALEGRETE";"2007-06";"Entorpecentes - Posse";"3"
"ALEGRETE";"2007-06";"Estelionato";"3"
"ALEGRETE";"2007-06";"Furto de veículo";"3"
"ALEGRETE";"2007-06";"Furtos";"115"
"ALEGRETE";"2007-06";"Homicídio";"1"
"ALEGRETE";"2007-06";"Roubos";"33"
"ALEGRETE";"2007-07";"Delitos relacionados a armas e muniçoes";"9"
"ALEGRETE";"2007-07";"Entorpecentes - Posse";"8"
"ALEGRETE";"2007-07";"Estelionato";"4"
"ALEGRETE";"2007-07";"Furto de veículo";"1"
"ALEGRETE";"2007-07";"Furtos";"106"
"ALEGRETE";"2007-07";"Roubo de veículo";"1"
"ALEGRETE";"2007-07";"Roubos";"33"
"ALEGRETE";"2007-08";"Delitos relacionados a armas e muniçoes";"6"
"ALEGRETE";"2007-08";"Entorpecentes - Posse";"2"
"ALEGRETE";"2007-08";"Entorpecentes - Tráfico";"2"
"ALEGRETE";"2007-08";"Estelionato";"2"
"ALEGRETE";"2007-08";"Furto de veículo";"7"
"ALEGRETE";"2007-08";"Furtos";"129"
"ALEGRETE";"2007-08";"Roubo de veículo";"1"
"ALEGRETE";"2007-08";"Roubos";"38"
"ALEGRETE";"2007-09";"Delitos relacionados a armas e muniçoes";"5"
"ALEGRETE";"2007-09";"Entorpecentes - Posse";"11"
"ALEGRETE";"2007-09";"Entorpecentes - Tráfico";"2"
"ALEGRETE";"2007-09";"Estelionato";"2"
"ALEGRETE";"2007-09";"Furto de veículo";"1"
"ALEGRETE";"2007-09";"Furtos";"136"
"ALEGRETE";"2007-09";"Homicídio";"2"
"ALEGRETE";"2007-09";"Roubos";"26"
"ALEGRETE";"2007-10";"Delitos relacionados a armas e muniçoes";"3"
"ALEGRETE";"2007-10";"Entorpecentes - Posse";"12"
"ALEGRETE";"2007-10";"Entorpecentes - Tráfico";"3"
"ALEGRETE";"2007-10";"Estelionato";"2"
"ALEGRETE";"2007-10";"Furtos";"124"
"ALEGRETE";"2007-10";"Roubos";"16"
"ALEGRETE";"2007-11";"Delitos relacionados a armas e muniçoes";"7"
"ALEGRETE";"2007-11";"Entorpecentes - Posse";"5"
"ALEGRETE";"2007-11";"Entorpecentes - Tráfico";"3"
"ALEGRETE";"2007-11";"Estelionato";"2"
"ALEGRETE";"2007-11";"Furto de veículo";"2"
"ALEGRETE";"2007-11";"Furtos";"97"
"ALEGRETE";"2007-11";"Roubos";"14"
"ALEGRETE";"2007-12";"Delitos relacionados a armas e muniçoes";"10"
"ALEGRETE";"2007-12";"Entorpecentes - Posse";"9"
"ALEGRETE";"2007-12";"Entorpecentes - Tráfico";"1"
"ALEGRETE";"2007-12";"Estelionato";"3"
"ALEGRETE";"2007-12";"Furto de veículo";"2"
"ALEGRETE";"2007-12";"Furtos";"116"
"ALEGRETE";"2007-12";"Homicídio";"3"
"ALEGRETE";"2007-12";"Roubos";"27"
"ALEGRIA";"2007-01";"Furtos";"1"
"ALEGRIA";"2007-02";"Furtos";"2"
"ALEGRIA";"2007-02";"Roubos";"1"
"ALEGRIA";"2007-03";"Roubos";"1"
"ALEGRIA";"2007-04";"Delitos relacionados a armas e muniçoes";"1"
"ALEGRIA";"2007-04";"Furtos";"7"
"ALEGRIA";"2007-04";"Roubos";"1"
"ALEGRIA";"2007-05";"Furtos";"5"
"ALEGRIA";"2007-06";"Estelionato";"1"
"ALEGRIA";"2007-06";"Furtos";"3"
"ALEGRIA";"2007-07";"Furtos";"4"
"ALEGRIA";"2007-08";"Estelionato";"1"
"ALEGRIA";"2007-08";"Furtos";"1"
"ALEGRIA";"2007-09";"Delitos relacionados a armas e muniçoes";"3"
"ALEGRIA";"2007-09";"Furtos";"3"
"ALEGRIA";"2007-09";"Homicídio";"1"
"ALEGRIA";"2007-10";"Furtos";"4"
"ALEGRIA";"2007-11";"Furtos";"1"
"ALEGRIA";"2007-12";"Estelionato";"1"
"ALEGRIA";"2007-12";"Furtos";"4"
"ALMIRANTE TAMANDARE DO SUL";"2007-01";"Furtos";"4"
"ALMIRANTE TAMANDARE DO SUL";"2007-02";"Furtos";"2"
"ALMIRANTE TAMANDARE DO SUL";"2007-03";"Furto de veículo";"1"
"ALMIRANTE TAMANDARE DO SUL";"2007-04";"Furtos";"5"
"ALMIRANTE TAMANDARE DO SUL";"2007-05";"Furtos";"5"
"ALMIRANTE TAMANDARE DO SUL";"2007-06";"Furtos";"2"
"ALMIRANTE TAMANDARE DO SUL";"2007-06";"Roubos";"2"
"ALMIRANTE TAMANDARE DO SUL";"2007-07";"Furto de veículo";"1"
"ALMIRANTE TAMANDARE DO SUL";"2007-08";"Furtos";"1"
"ALMIRANTE TAMANDARE DO SUL";"2007-09";"Furtos";"1"
"ALMIRANTE TAMANDARE DO SUL";"2007-10";"Furtos";"4"
"ALMIRANTE TAMANDARE DO SUL";"2007-12";"Furtos";"4"
"ALPESTRE";"2007-01";"Furtos";"2"
"ALPESTRE";"2007-01";"Roubos";"2"
"ALPESTRE";"2007-02";"Furtos";"3"
"ALPESTRE";"2007-03";"Furtos";"5"
"ALPESTRE";"2007-03";"Homicídio";"1"
"ALPESTRE";"2007-04";"Delitos relacionados a armas e muniçoes";"3"
"ALPESTRE";"2007-04";"Furtos";"5"
"ALPESTRE";"2007-05";"Delitos relacionados a armas e muniçoes";"1"
"ALPESTRE";"2007-05";"Estelionato";"1"
"ALPESTRE";"2007-05";"Furtos";"9"
