"MUNICIPIO";"ANOMES";"FATO";"QTDE"
"ACEGUA";"2005-01";"Furtos";"5"
"ACEGUA";"2005-02";"Furtos";"7"
"ACEGUA";"2005-03";"Furtos";"13"
"ACEGUA";"2005-04";"Furtos";"6"
"ACEGUA";"2005-05";"Furtos";"4"
"ACEGUA";"2005-05";"Roubos";"2"
"ACEGUA";"2005-06";"Furtos";"6"
"ACEGUA";"2005-07";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2005-07";"Estelionato";"1"
"ACEGUA";"2005-07";"Furtos";"7"
"ACEGUA";"2005-07";"Roubos";"1"
"ACEGUA";"2005-08";"Furtos";"5"
"ACEGUA";"2005-09";"Furtos";"2"
"ACEGUA";"2005-10";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2005-10";"Entorpecentes - Posse";"1"
"ACEGUA";"2005-10";"Furtos";"1"
"ACEGUA";"2005-11";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2005-11";"Furto de veículo";"1"
"ACEGUA";"2005-11";"Furtos";"4"
"ACEGUA";"2005-12";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2005-12";"Furtos";"4"
"AGUA SANTA";"2005-01";"Delitos relacionados a armas e muniçoes";"1"
"AGUA SANTA";"2005-01";"Roubos";"1"
"AGUA SANTA";"2005-02";"Furtos";"2"
"AGUA SANTA";"2005-03";"Estelionato";"1"
"AGUA SANTA";"2005-03";"Furtos";"7"
"AGUA SANTA";"2005-04";"Furtos";"4"
"AGUA SANTA";"2005-05";"Delitos relacionados a armas e muniçoes";"1"
"AGUA SANTA";"2005-05";"Furtos";"2"
"AGUA SANTA";"2005-06";"Furtos";"4"
"AGUA SANTA";"2005-07";"Estelionato";"1"
"AGUA SANTA";"2005-07";"Furto de veículo";"1"
"AGUA SANTA";"2005-07";"Furtos";"1"
"AGUA SANTA";"2005-08";"Furto de veículo";"1"
"AGUA SANTA";"2005-08";"Furtos";"1"
"AGUA SANTA";"2005-09";"Furtos";"5"
"AGUA SANTA";"2005-10";"Furtos";"3"
"AGUA SANTA";"2005-11";"Furtos";"6"
"AGUA SANTA";"2005-12";"Furtos";"1"
"AGUDO";"2005-01";"Delitos relacionados a armas e muniçoes";"3"
"AGUDO";"2005-01";"Estelionato";"3"
"AGUDO";"2005-01";"Furtos";"18"
"AGUDO";"2005-01";"Roubos";"1"
"AGUDO";"2005-02";"Estelionato";"3"
"AGUDO";"2005-02";"Furtos";"17"
"AGUDO";"2005-02";"Homicídio";"1"
"AGUDO";"2005-02";"Roubos";"2"
"AGUDO";"2005-03";"Estelionato";"3"
"AGUDO";"2005-03";"Extorsão";"1"
"AGUDO";"2005-03";"Furto de veículo";"1"
"AGUDO";"2005-03";"Furtos";"23"
"AGUDO";"2005-03";"Roubos";"3"
"AGUDO";"2005-04";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2005-04";"Estelionato";"3"
"AGUDO";"2005-04";"Furtos";"29"
"AGUDO";"2005-04";"Roubos";"1"
"AGUDO";"2005-05";"Delitos relacionados a armas e muniçoes";"4"
"AGUDO";"2005-05";"Estelionato";"2"
"AGUDO";"2005-05";"Furtos";"19"
"AGUDO";"2005-06";"Delitos relacionados a armas e muniçoes";"2"
"AGUDO";"2005-06";"Estelionato";"5"
"AGUDO";"2005-06";"Furtos";"25"
"AGUDO";"2005-07";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2005-07";"Estelionato";"1"
"AGUDO";"2005-07";"Furtos";"34"
"AGUDO";"2005-07";"Homicídio";"1"
"AGUDO";"2005-07";"Roubos";"3"
"AGUDO";"2005-08";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2005-08";"Furtos";"14"
"AGUDO";"2005-09";"Estelionato";"2"
"AGUDO";"2005-09";"Furto de veículo";"1"
"AGUDO";"2005-09";"Furtos";"16"
"AGUDO";"2005-10";"Estelionato";"3"
"AGUDO";"2005-10";"Furto de veículo";"3"
"AGUDO";"2005-10";"Furtos";"12"
"AGUDO";"2005-10";"Roubos";"2"
"AGUDO";"2005-11";"Delitos relacionados a armas e muniçoes";"2"
"AGUDO";"2005-11";"Entorpecentes - Posse";"1"
"AGUDO";"2005-11";"Estelionato";"1"
"AGUDO";"2005-11";"Furtos";"19"
"AGUDO";"2005-12";"Estelionato";"2"
"AGUDO";"2005-12";"Furtos";"10"
"AGUDO";"2005-12";"Homicídio";"1"
"AGUDO";"2005-12";"Roubos";"1"
"AJURICABA";"2005-01";"Furtos";"4"
"AJURICABA";"2005-02";"Estelionato";"2"
"AJURICABA";"2005-02";"Furto de veículo";"3"
"AJURICABA";"2005-02";"Furtos";"10"
"AJURICABA";"2005-03";"Estelionato";"1"
"AJURICABA";"2005-03";"Furtos";"5"
"AJURICABA";"2005-04";"Furtos";"2"
"AJURICABA";"2005-05";"Furtos";"6"
"AJURICABA";"2005-06";"Furto de veículo";"3"
"AJURICABA";"2005-06";"Furtos";"11"
"AJURICABA";"2005-07";"Delitos relacionados a armas e muniçoes";"2"
"AJURICABA";"2005-07";"Estelionato";"1"
"AJURICABA";"2005-07";"Furto de veículo";"1"
"AJURICABA";"2005-07";"Furtos";"1"
"AJURICABA";"2005-08";"Furtos";"11"
"AJURICABA";"2005-08";"Roubos";"1"
"AJURICABA";"2005-09";"Furtos";"6"
"AJURICABA";"2005-09";"Roubos";"1"
"AJURICABA";"2005-10";"Furtos";"3"
"AJURICABA";"2005-11";"Estelionato";"1"
"AJURICABA";"2005-11";"Furtos";"7"
"AJURICABA";"2005-12";"Estelionato";"1"
"AJURICABA";"2005-12";"Furtos";"3"
"ALECRIM";"2005-01";"Furtos";"4"
