"MUNICIPIO";"ANOMES";"FATO";"QTDE"
"ACEGUA";"2008-01";"Estelionato";"1"
"ACEGUA";"2008-01";"Furtos";"7"
"ACEGUA";"2008-02";"Furtos";"6"
"ACEGUA";"2008-03";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2008-03";"Furtos";"6"
"ACEGUA";"2008-04";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2008-04";"Furtos";"9"
"ACEGUA";"2008-04";"Latrocínio";"1"
"ACEGUA";"2008-05";"Furtos";"6"
"ACEGUA";"2008-06";"Furtos";"6"
"ACEGUA";"2008-07";"Furtos";"6"
"ACEGUA";"2008-08";"Furtos";"8"
"ACEGUA";"2008-09";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2008-09";"Furtos";"8"
"ACEGUA";"2008-09";"Roubos";"1"
"ACEGUA";"2008-10";"Furtos";"1"
"ACEGUA";"2008-11";"Estelionato";"2"
"ACEGUA";"2008-11";"Furtos";"5"
"ACEGUA";"2008-12";"Estelionato";"1"
"ACEGUA";"2008-12";"Furtos";"4"
"ACEGUA";"2008-12";"Roubos";"1"
"AGUA SANTA";"2008-01";"Estelionato";"1"
"AGUA SANTA";"2008-01";"Furtos";"3"
"AGUA SANTA";"2008-02";"Furtos";"2"
"AGUA SANTA";"2008-02";"Roubo de veículo";"1"
"AGUA SANTA";"2008-03";"Estelionato";"2"
"AGUA SANTA";"2008-03";"Furtos";"2"
"AGUA SANTA";"2008-04";"Furtos";"2"
"AGUA SANTA";"2008-05";"Furtos";"1"
"AGUA SANTA";"2008-07";"Delitos relacionados a armas e muniçoes";"1"
"AGUA SANTA";"2008-07";"Furtos";"1"
"AGUA SANTA";"2008-08";"Delitos relacionados a armas e muniçoes";"1"
"AGUA SANTA";"2008-08";"Furtos";"3"
"AGUA SANTA";"2008-08";"Roubo de veículo";"2"
"AGUA SANTA";"2008-08";"Roubos";"2"
"AGUA SANTA";"2008-09";"Furtos";"2"
"AGUA SANTA";"2008-09";"Roubo de veículo";"1"
"AGUA SANTA";"2008-09";"Roubos";"1"
"AGUA SANTA";"2008-10";"Delitos relacionados a armas e muniçoes";"2"
"AGUA SANTA";"2008-10";"Furtos";"6"
"AGUA SANTA";"2008-11";"Furtos";"1"
"AGUA SANTA";"2008-12";"Delitos relacionados a armas e muniçoes";"1"
"AGUA SANTA";"2008-12";"Entorpecentes - Posse";"1"
"AGUA SANTA";"2008-12";"Furtos";"8"
"AGUA SANTA";"2008-12";"Roubos";"1"
"AGUDO";"2008-01";"Furtos";"20"
"AGUDO";"2008-01";"Roubos";"2"
"AGUDO";"2008-02";"Estelionato";"2"
"AGUDO";"2008-02";"Furtos";"18"
"AGUDO";"2008-03";"Furto de veículo";"1"
"AGUDO";"2008-03";"Furtos";"13"
"AGUDO";"2008-04";"Entorpecentes - Posse";"1"
"AGUDO";"2008-04";"Entorpecentes - Tráfico";"1"
"AGUDO";"2008-04";"Estelionato";"2"
"AGUDO";"2008-04";"Furtos";"9"
"AGUDO";"2008-05";"Furto de veículo";"1"
"AGUDO";"2008-05";"Furtos";"11"
"AGUDO";"2008-06";"Entorpecentes - Posse";"1"
"AGUDO";"2008-06";"Entorpecentes - Tráfico";"1"
"AGUDO";"2008-06";"Furtos";"20"
"AGUDO";"2008-06";"Roubos";"1"
"AGUDO";"2008-07";"Furtos";"16"
"AGUDO";"2008-07";"Roubos";"2"
"AGUDO";"2008-08";"Estelionato";"2"
"AGUDO";"2008-08";"Furtos";"23"
"AGUDO";"2008-09";"Estelionato";"2"
"AGUDO";"2008-09";"Furto de veículo";"3"
"AGUDO";"2008-09";"Furtos";"15"
"AGUDO";"2008-10";"Entorpecentes - Posse";"1"
"AGUDO";"2008-10";"Estelionato";"2"
"AGUDO";"2008-10";"Furtos";"16"
"AGUDO";"2008-10";"Roubos";"1"
"AGUDO";"2008-11";"Estelionato";"1"
"AGUDO";"2008-11";"Furtos";"14"
"AGUDO";"2008-12";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2008-12";"Estelionato";"1"
"AGUDO";"2008-12";"Furto de veículo";"1"
"AGUDO";"2008-12";"Furtos";"12"
"AJURICABA";"2008-01";"Furtos";"9"
"AJURICABA";"2008-01";"Roubos";"1"
"AJURICABA";"2008-02";"Estelionato";"1"
"AJURICABA";"2008-02";"Furtos";"8"
"AJURICABA";"2008-03";"Estelionato";"1"
"AJURICABA";"2008-03";"Furtos";"6"
"AJURICABA";"2008-04";"Estelionato";"2"
"AJURICABA";"2008-05";"Furtos";"5"
"AJURICABA";"2008-05";"Roubos";"1"
"AJURICABA";"2008-06";"Delitos relacionados a armas e muniçoes";"1"
"AJURICABA";"2008-06";"Furtos";"4"
"AJURICABA";"2008-07";"Entorpecentes - Posse";"1"
"AJURICABA";"2008-07";"Furtos";"2"
"AJURICABA";"2008-08";"Furtos";"2"
"AJURICABA";"2008-08";"Roubos";"1"
"AJURICABA";"2008-09";"Estelionato";"1"
"AJURICABA";"2008-09";"Furto de veículo";"1"
"AJURICABA";"2008-09";"Furtos";"2"
"AJURICABA";"2008-10";"Delitos relacionados a armas e muniçoes";"1"
"AJURICABA";"2008-10";"Furtos";"7"
"AJURICABA";"2008-11";"Furtos";"4"
"AJURICABA";"2008-12";"Estelionato";"1"
"AJURICABA";"2008-12";"Furtos";"8"
"ALECRIM";"2008-01";"Delitos relacionados a armas e muniçoes";"1"
"ALECRIM";"2008-01";"Entorpecentes - Tráfico";"1"
"ALECRIM";"2008-01";"Estelionato";"1"
"ALECRIM";"2008-01";"Furtos";"4"
"ALECRIM";"2008-02";"Delitos relacionados a armas e muniçoes";"1"
"ALECRIM";"2008-02";"Furtos";"3"
"ALECRIM";"2008-03";"Furtos";"4"
"ALECRIM";"2008-04";"Delitos relacionados a armas e muniçoes";"1"
"ALECRIM";"2008-04";"Furtos";"9"
"ALECRIM";"2008-05";"Delitos relacionados a armas e muniçoes";"2"
"ALECRIM";"2008-05";"Estelionato";"5"
"ALECRIM";"2008-05";"Furtos";"5"
"ALECRIM";"2008-06";"Delitos relacionados a armas e muniçoes";"2"
"ALECRIM";"2008-06";"Furtos";"4"
"ALECRIM";"2008-07";"Furtos";"5"
"ALECRIM";"2008-08";"Furtos";"4"
"ALECRIM";"2008-08";"Roubos";"1"
"ALECRIM";"2008-09";"Delitos relacionados a armas e muniçoes";"2"
"ALECRIM";"2008-09";"Furtos";"4"
"ALECRIM";"2008-10";"Delitos relacionados a armas e muniçoes";"1"
"ALECRIM";"2008-10";"Entorpecentes - Posse";"1"
"ALECRIM";"2008-10";"Estelionato";"1"
"ALECRIM";"2008-10";"Extorsão";"1"
"ALECRIM";"2008-10";"Furtos";"10"
"ALECRIM";"2008-11";"Entorpecentes - Tráfico";"1"
"ALECRIM";"2008-11";"Furtos";"12"
"ALECRIM";"2008-12";"Entorpecentes - Posse";"1"
"ALECRIM";"2008-12";"Furtos";"8"
"ALEGRETE";"2008-01";"Delitos relacionados a armas e muniçoes";"9"
"ALEGRETE";"2008-01";"Entorpecentes - Posse";"2"
"ALEGRETE";"2008-01";"Entorpecentes - Tráfico";"1"
"ALEGRETE";"2008-01";"Estelionato";"4"
"ALEGRETE";"2008-01";"Extorsão";"1"
"ALEGRETE";"2008-01";"Furto de veículo";"2"
"ALEGRETE";"2008-01";"Furtos";"139"
"ALEGRETE";"2008-01";"Roubo de veículo";"1"
"ALEGRETE";"2008-01";"Roubos";"14"
"ALEGRETE";"2008-02";"Delitos relacionados a armas e muniçoes";"7"
"ALEGRETE";"2008-02";"Entorpecentes - Posse";"9"
"ALEGRETE";"2008-02";"Estelionato";"3"
"ALEGRETE";"2008-02";"Furto de veículo";"4"
"ALEGRETE";"2008-02";"Furtos";"90"
"ALEGRETE";"2008-02";"Roubo de veículo";"1"
"ALEGRETE";"2008-02";"Roubos";"18"
"ALEGRETE";"2008-03";"Delitos relacionados a armas e muniçoes";"6"
"ALEGRETE";"2008-03";"Entorpecentes - Posse";"4"
"ALEGRETE";"2008-03";"Estelionato";"6"
"ALEGRETE";"2008-03";"Extorsão";"1"
"ALEGRETE";"2008-03";"Furto de veículo";"1"
"ALEGRETE";"2008-03";"Furtos";"103"
"ALEGRETE";"2008-03";"Homicídio";"1"
