"MUNICIPIO";"ANOMES";"FATO";"QTDE"
"ACEGUA";"2002-04";"Furtos";"1"
"ACEGUA";"2002-07";"Furtos";"1"
"ACEGUA";"2002-09";"Furtos";"1"
"ACEGUA";"2002-12";"Furtos";"2"
"AGUA SANTA";"2002-01";"Furtos";"1"
"AGUA SANTA";"2002-02";"Furtos";"1"
"AGUA SANTA";"2002-04";"Furtos";"1"
"AGUA SANTA";"2002-05";"Furtos";"1"
"AGUA SANTA";"2002-06";"Furtos";"1"
"AGUA SANTA";"2002-07";"Furto de veículo";"2"
"AGUA SANTA";"2002-07";"Furtos";"1"
"AGUA SANTA";"2002-08";"Furtos";"1"
"AGUA SANTA";"2002-09";"Furtos";"2"
"AGUA SANTA";"2002-11";"Estelionato";"1"
"AGUA SANTA";"2002-11";"Furtos";"1"
"AGUA SANTA";"2002-12";"Furtos";"2"
"AGUDO";"2002-01";"Estelionato";"2"
"AGUDO";"2002-01";"Furto de veículo";"1"
"AGUDO";"2002-01";"Furtos";"15"
"AGUDO";"2002-01";"Roubo de veículo";"1"
"AGUDO";"2002-02";"Estelionato";"3"
"AGUDO";"2002-02";"Furtos";"14"
"AGUDO";"2002-03";"Estelionato";"1"
"AGUDO";"2002-03";"Furto de veículo";"1"
"AGUDO";"2002-03";"Furtos";"16"
"AGUDO";"2002-04";"Estelionato";"1"
"AGUDO";"2002-04";"Furto de veículo";"1"
"AGUDO";"2002-04";"Furtos";"14"
"AGUDO";"2002-04";"Homicídio";"1"
"AGUDO";"2002-04";"Roubos";"1"
"AGUDO";"2002-05";"Estelionato";"1"
"AGUDO";"2002-05";"Furto de veículo";"1"
"AGUDO";"2002-05";"Furtos";"13"
"AGUDO";"2002-06";"Estelionato";"2"
"AGUDO";"2002-06";"Furtos";"14"
"AGUDO";"2002-07";"Estelionato";"1"
"AGUDO";"2002-07";"Furtos";"20"
"AGUDO";"2002-08";"Estelionato";"1"
"AGUDO";"2002-08";"Furto de veículo";"1"
"AGUDO";"2002-08";"Furtos";"9"
"AGUDO";"2002-09";"Estelionato";"2"
"AGUDO";"2002-09";"Furtos";"16"
"AGUDO";"2002-09";"Roubos";"1"
"AGUDO";"2002-10";"Furtos";"11"
"AGUDO";"2002-11";"Furto de veículo";"1"
"AGUDO";"2002-11";"Furtos";"9"
"AGUDO";"2002-12";"Furto de veículo";"1"
"AGUDO";"2002-12";"Furtos";"12"
"AGUDO";"2002-12";"Roubos";"2"
"AJURICABA";"2002-01";"Entorpecentes - Tráfico";"1"
"AJURICABA";"2002-01";"Estelionato";"2"
"AJURICABA";"2002-01";"Furto de veículo";"1"
"AJURICABA";"2002-01";"Furtos";"8"
"AJURICABA";"2002-02";"Estelionato";"1"
"AJURICABA";"2002-02";"Furtos";"4"
"AJURICABA";"2002-03";"Furtos";"8"
"AJURICABA";"2002-04";"Estelionato";"1"
"AJURICABA";"2002-04";"Furtos";"5"
"AJURICABA";"2002-05";"Furtos";"5"
"AJURICABA";"2002-06";"Estelionato";"1"
"AJURICABA";"2002-06";"Furtos";"14"
"AJURICABA";"2002-07";"Estelionato";"1"
"AJURICABA";"2002-07";"Furto de veículo";"1"
"AJURICABA";"2002-07";"Furtos";"4"
"AJURICABA";"2002-08";"Furtos";"3"
"AJURICABA";"2002-09";"Estelionato";"1"
"AJURICABA";"2002-09";"Furtos";"9"
"AJURICABA";"2002-10";"Furtos";"4"
"AJURICABA";"2002-11";"Estelionato";"3"
"AJURICABA";"2002-11";"Furtos";"5"
"AJURICABA";"2002-12";"Furtos";"9"
"ALECRIM";"2002-01";"Furtos";"1"
"ALECRIM";"2002-02";"Furtos";"3"
"ALECRIM";"2002-03";"Furtos";"8"
"ALECRIM";"2002-04";"Furtos";"6"
"ALECRIM";"2002-05";"Furtos";"3"
"ALECRIM";"2002-06";"Furtos";"2"
"ALECRIM";"2002-07";"Furtos";"3"
"ALECRIM";"2002-08";"Furtos";"2"
"ALECRIM";"2002-09";"Furtos";"4"
"ALECRIM";"2002-10";"Furtos";"5"
"ALECRIM";"2002-10";"Roubos";"1"
"ALECRIM";"2002-11";"Furtos";"4"
"ALECRIM";"2002-12";"Furtos";"4"
"ALEGRETE";"2002-01";"Entorpecentes - Posse";"9"
"ALEGRETE";"2002-01";"Entorpecentes - Tráfico";"1"
"ALEGRETE";"2002-01";"Estelionato";"11"
"ALEGRETE";"2002-01";"Furto de veículo";"4"
"ALEGRETE";"2002-01";"Furtos";"139"
"ALEGRETE";"2002-01";"Homicídio";"1"
